KEY,English,PortugueseBR,SpanishLA
KickerStats,TRIP LOG,DIÁRIO,DIARIO
StatsBody,Everything you have played so far.,Tudo o que você jogou até agora.,Todo lo que has jugado hasta ahora.
StatWins,WINS,VITÓRIAS,VICTORIAS
StatLosses,LOSSES,DERROTAS,DERROTAS
StatDraws,DRAWS,EMPATES,EMPATES
StatMatches,MATCHES,PARTIDAS,PARTIDAS
StatCaptures,CAPTURES,CAPTURAS,CAPTURAS
StatWinStreak,BEST WIN STREAK,MELHOR SEQUÊNCIA,MEJOR RACHA
KickerDailyRewards,RETURN LOOP,VOLTE SEMPRE,VUELVE PRONTO
DailyRewardsBody,A handful of auras for every day you come back to the board.,Algumas auras por cada dia que você volta ao tabuleiro.,Unas auras por cada día que vuelves al tablero.
KickerDailyQuests,TODAY'S TRIP,VIAGEM DE HOJE,VIAJE DE HOY
DailyQuestsBody,Three jobs a day. They reset with the trusted clock.,Três tarefas por dia. Reiniciam com o relógio confiável.,Tres tareas al día. Se reinician con el reloj confiable.
ClaimAuras,CLAIM [auras] AURAS,RECEBER [auras] AURAS,RECLAMAR [auras] AURAS
Claimed,CLAIMED,RECEBIDO,RECLAMADO
ClaimedToday,CLAIMED TODAY,RECEBIDO HOJE,RECLAMADO HOY
InProgress,IN PROGRESS,EM ANDAMENTO,EN PROGRESO
Saving,SAVING…,SALVANDO…,GUARDANDO…
LocalClaimNote,Local claims work offline; trusted time is used on RUN host.,Reivindicações locais funcionam offline; o relógio confiável é usado no host RUN.,Las reclamaciones locales funcionan sin conexión; el reloj confiable se usa en el host RUN.
KickerSettings,CONTROLS,CONTROLES,CONTROLES
SettingsMusic,Music,Música,Música
SettingsMusicVolume,Music volume,Volume da música,Volumen de música
SettingsSfx,Sound effects,Efeitos sonoros,Efectos de sonido
SettingsSfxVolume,SFX volume,Volume dos efeitos,Volumen de efectos
SettingsHaptics,Haptics,Vibração,Vibración
SettingsReducedMotion,Reduced motion,Menos movimento,Menos movimiento
SettingsNotifications,Notifications,Notificações,Notificaciones
SettingsQuality,Graphics quality,Qualidade gráfica,Calidad gráfica
SettingsUnavailable,Not available right now,Indisponível agora,No disponible ahora
NotificationFailed,Could not update notification preference,Não foi possível atualizar as notificações,No se pudo actualizar la preferencia
HapticSent,Haptic sent,Vibração enviada,Vibración enviada
HapticUnsupported,Haptics unsupported here,Vibração não suportada,Vibración no soportada
ToggleOn,ON,LIGADO,ACTIVADO
ToggleOff,OFF,DESLIGADO,DESACTIVADO
ToggleAsk,ASK,PERGUNTAR,PREGUNTAR
SettingsLanguage,Language,Idioma,Idioma
SettingsLow,Low,Baixa,Baja
SettingsHigh,High,Alta,Alta
NotificationConsentNote,Notifications are optional and can be turned off anytime.,Notificações são opcionais e podem ser desligadas a qualquer momento.,Las notificaciones son opcionales y se pueden desactivar en cualquier momento.
